"Xb","Z","S","Q"
8957.4,89.574,144080000,5380200
9021.2,90.212,144240000,5418500
9085.3,90.853,144380000,5457000
9150,91.5,144520000,5495900
9215.1,92.151,144640000,5534900
9280.6,92.806,144750000,5574300
9346.6,93.466,144850000,5614000
9413.1,94.131,144940000,5653900
9480.1,94.801,145010000,5694100
9547.5,95.475,145070000,5734600
9615.4,96.154,145120000,5775400
9683.8,96.838,145150000,5816500
9752.7,97.527,145170000,5857900
